省,省code,市,市code,区县,区县code,废品回收,再生资源回收,旧货回收,回收站,总计
黑龙江省,230000,齐齐哈尔市,230200,龙沙区,230202,20,20,39,40,40
黑龙江省,230000,绥化市,231200,肇东市,231282,20,20,38,40,40
黑龙江省,230000,哈尔滨市,230100,松北区,230109,19,20,35,36,39
黑龙江省,230000,大庆市,230600,让胡路区,230604,14,14,34,34,35
黑龙江省,230000,牡丹江市,231000,西安区,231005,17,17,31,30,32
黑龙江省,230000,佳木斯市,230800,向阳区,230803,4,4,31,30,31
黑龙江省,230000,齐齐哈尔市,230200,铁锋区,230204,15,15,30,30,30
黑龙江省,230000,牡丹江市,231000,东安区,231002,14,14,24,23,24
黑龙江省,230000,大庆市,230600,萨尔图区,230602,2,2,23,23,24
黑龙江省,230000,大庆市,230600,龙凤区,230603,4,4,24,24,24
黑龙江省,230000,哈尔滨市,230100,五常市,230184,11,11,22,21,22
黑龙江省,230000,绥化市,231200,安达市,231281,11,11,21,21,21
黑龙江省,230000,哈尔滨市,230100,尚志市,230183,8,8,19,18,19
黑龙江省,230000,哈尔滨市,230100,双城区,230113,7,7,18,18,19
黑龙江省,230000,牡丹江市,231000,爱民区,231004,12,12,17,17,18
黑龙江省,230000,伊春市,230700,伊美区,230717,12,12,18,17,18
黑龙江省,230000,鸡西市,230300,鸡冠区,230302,12,13,17,17,18
黑龙江省,230000,齐齐哈尔市,230200,建华区,230203,11,11,16,16,18
黑龙江省,230000,佳木斯市,230800,富锦市,230882,11,11,18,18,18
黑龙江省,230000,绥化市,231200,青冈县,231223,7,6,14,15,17
黑龙江省,230000,大庆市,230600,肇源县,230622,10,11,16,16,17
黑龙江省,230000,哈尔滨市,230100,平房区,230108,6,7,17,16,17
黑龙江省,230000,佳木斯市,230800,郊区,230811,10,10,15,16,17
黑龙江省,230000,双鸭山市,230500,宝清县,230523,8,8,17,17,17
黑龙江省,230000,哈尔滨市,230100,阿城区,230112,12,13,14,14,16
黑龙江省,230000,齐齐哈尔市,230200,讷河市,230281,5,5,14,14,14
黑龙江省,230000,绥化市,231200,海伦市,231283,12,11,12,12,14
黑龙江省,230000,佳木斯市,230800,桦川县,230826,10,10,14,14,14
黑龙江省,230000,大庆市,230600,肇州县,230621,9,10,11,11,13
黑龙江省,230000,哈尔滨市,230100,宾县,230125,4,4,12,13,13
黑龙江省,230000,佳木斯市,230800,东风区,230805,8,9,11,11,12
黑龙江省,230000,七台河市,230900,桃山区,230903,8,8,12,12,12
黑龙江省,230000,伊春市,230700,铁力市,230781,7,7,11,11,11
黑龙江省,230000,齐齐哈尔市,230200,富裕县,230227,7,7,10,11,11
黑龙江省,230000,齐齐哈尔市,230200,泰来县,230224,8,8,11,11,11
黑龙江省,230000,绥化市,231200,明水县,231225,5,5,11,11,11
黑龙江省,230000,齐齐哈尔市,230200,富拉尔基区,230206,2,2,10,10,10
黑龙江省,230000,哈尔滨市,230100,巴彦县,230126,4,4,10,10,10
黑龙江省,230000,哈尔滨市,230100,延寿县,230129,4,4,10,10,10
黑龙江省,230000,佳木斯市,230800,汤原县,230828,2,2,10,10,10
黑龙江省,230000,鹤岗市,230400,工农区,230403,2,2,9,9,9
黑龙江省,230000,黑河市,231100,爱辉区,231102,5,5,9,9,9
黑龙江省,230000,牡丹江市,231000,宁安市,231084,8,8,9,9,9
黑龙江省,230000,牡丹江市,231000,阳明区,231003,7,7,9,9,9
黑龙江省,230000,齐齐哈尔市,230200,克山县,230229,7,7,9,9,9
黑龙江省,230000,齐齐哈尔市,230200,龙江县,230221,3,3,8,9,9
黑龙江省,230000,绥化市,231200,庆安县,231224,3,3,8,9,9
黑龙江省,230000,佳木斯市,230800,同江市,230881,4,5,9,9,9
黑龙江省,230000,双鸭山市,230500,尖山区,230502,3,3,9,9,9
黑龙江省,230000,双鸭山市,230500,集贤县,230521,2,2,9,8,9
黑龙江省,230000,牡丹江市,231000,海林市,231083,6,6,8,8,8
黑龙江省,230000,绥化市,231200,望奎县,231221,5,5,8,8,8
黑龙江省,230000,佳木斯市,230800,前进区,230804,3,3,8,8,8
黑龙江省,230000,佳木斯市,230800,桦南县,230822,3,3,7,7,8
黑龙江省,230000,鹤岗市,230400,绥滨县,230422,3,3,7,7,7
黑龙江省,230000,黑河市,231100,嫩江市,231183,4,4,6,7,7
黑龙江省,230000,黑河市,231100,孙吴县,231124,3,3,7,7,7
黑龙江省,230000,牡丹江市,231000,绥芬河市,231081,3,3,7,6,7
黑龙江省,230000,齐齐哈尔市,230200,甘南县,230225,7,7,7,7,7
黑龙江省,230000,齐齐哈尔市,230200,拜泉县,230231,1,1,7,7,7
黑龙江省,230000,大庆市,230600,林甸县,230623,2,2,7,7,7
黑龙江省,230000,哈尔滨市,230100,方正县,230124,6,6,7,7,7
黑龙江省,230000,鹤岗市,230400,萝北县,230421,2,2,6,6,6
黑龙江省,230000,鸡西市,230300,密山市,230382,4,4,6,6,6
黑龙江省,230000,绥化市,231200,兰西县,231222,1,1,6,6,6
黑龙江省,230000,大庆市,230600,杜尔伯特蒙古族自治县,230624,2,3,5,4,6
黑龙江省,230000,七台河市,230900,勃利县,230921,4,4,6,6,6
黑龙江省,230000,大兴安岭地区,232700,加格达奇区,232718,3,3,5,5,5
黑龙江省,230000,黑河市,231100,北安市,231181,1,1,5,5,5
黑龙江省,230000,牡丹江市,231000,穆棱市,231085,3,3,5,5,5
黑龙江省,230000,牡丹江市,231000,林口县,231025,4,4,5,5,5
黑龙江省,230000,鸡西市,230300,恒山区,230303,5,5,5,5,5
黑龙江省,230000,齐齐哈尔市,230200,依安县,230223,4,4,5,5,5
黑龙江省,230000,大庆市,230600,红岗区,230605,4,4,5,5,5
黑龙江省,230000,鹤岗市,230400,兴安区,230405,2,2,4,4,4
黑龙江省,230000,鹤岗市,230400,向阳区,230402,3,3,4,4,4
黑龙江省,230000,牡丹江市,231000,东宁市,231086,1,1,4,4,4
黑龙江省,230000,大庆市,230600,大同区,230606,1,1,4,4,4
黑龙江省,230000,大兴安岭地区,232700,呼玛县,232721,3,3,3,3,3
黑龙江省,230000,鹤岗市,230400,南山区,230404,1,1,3,3,3
黑龙江省,230000,黑河市,231100,五大连池市,231182,2,2,3,3,3
黑龙江省,230000,伊春市,230700,乌翠区,230718,1,1,3,3,3
黑龙江省,230000,鸡西市,230300,鸡东县,230321,2,3,2,2,3
黑龙江省,230000,绥化市,231200,绥棱县,231226,1,1,3,2,3
黑龙江省,230000,哈尔滨市,230100,依兰县,230123,2,2,3,3,3
黑龙江省,230000,双鸭山市,230500,宝山区,230506,3,3,3,3,3
黑龙江省,230000,大兴安岭地区,232700,塔河县,232722,2,1,2,2,2
黑龙江省,230000,伊春市,230700,友好区,230719,2,2,2,2,2
黑龙江省,230000,鸡西市,230300,滴道区,230304,2,2,2,2,2
黑龙江省,230000,鸡西市,230300,虎林市,230381,0,0,2,2,2
黑龙江省,230000,鸡西市,230300,城子河区,230306,1,1,2,1,2
黑龙江省,230000,齐齐哈尔市,230200,克东县,230230,1,1,2,2,2
黑龙江省,230000,齐齐哈尔市,230200,梅里斯达斡尔族区,230208,1,1,2,1,2
黑龙江省,230000,哈尔滨市,230100,木兰县,230127,2,2,2,2,2
黑龙江省,230000,七台河市,230900,茄子河区,230904,2,2,2,2,2
黑龙江省,230000,双鸭山市,230500,友谊县,230522,0,0,2,2,2
黑龙江省,230000,双鸭山市,230500,饶河县,230524,2,2,2,2,2
黑龙江省,230000,鹤岗市,230400,兴山区,230407,1,1,1,1,1
黑龙江省,230000,鹤岗市,230400,东山区,230406,1,1,1,1,1
黑龙江省,230000,黑河市,231100,逊克县,231123,1,1,1,1,1
黑龙江省,230000,伊春市,230700,嘉荫县,230722,1,1,1,1,1
黑龙江省,230000,伊春市,230700,丰林县,230724,1,1,1,1,1
黑龙江省,230000,伊春市,230700,金林区,230751,1,1,1,1,1
黑龙江省,230000,鸡西市,230300,麻山区,230307,0,0,1,1,1
黑龙江省,230000,齐齐哈尔市,230200,碾子山区,230207,1,1,1,1,1
黑龙江省,230000,齐齐哈尔市,230200,昂昂溪区,230205,1,1,1,1,1
黑龙江省,230000,哈尔滨市,230100,通河县,230128,1,1,1,1,1
黑龙江省,230000,佳木斯市,230800,抚远市,230883,1,1,1,1,1
黑龙江省,230000,七台河市,230900,新兴区,230902,0,0,1,1,1
河南省,410000,郑州市,410100,金水区,410105,78,81,193,194,249
河南省,410000,郑州市,410100,管城回族区,410104,93,97,189,188,230
河南省,410000,郑州市,410100,中牟县,410122,129,132,194,194,219
河南省,410000,郑州市,410100,新郑市,410184,119,121,186,186,218
河南省,410000,郑州市,410100,二七区,410103,42,45,187,190,202
河南省,410000,郑州市,410100,中原区,410102,64,64,184,184,195
河南省,410000,驻马店市,411700,驿城区,411702,56,61,158,145,170
河南省,410000,许昌市,411000,长葛市,411082,73,76,143,139,146
河南省,410000,洛阳市,410300,洛龙区,410311,53,56,135,125,141
河南省,410000,南阳市,411300,卧龙区,411303,15,17,121,126,138
河南省,410000,洛阳市,410300,涧西区,410305,22,23,117,114,125
河南省,410000,信阳市,411500,固始县,411525,41,43,114,111,118
河南省,410000,许昌市,411000,魏都区,411002,22,22,104,98,110
河南省,410000,郑州市,410100,惠济区,410108,28,30,98,89,109
河南省,410000,濮阳市,410900,华龙区,410902,26,26,95,88,98
河南省,410000,郑州市,410100,荥阳市,410182,40,44,78,82,88
河南省,410000,南阳市,411300,宛城区,411302,14,15,78,77,79
河南省,410000,商丘市,411400,睢阳区,411403,18,19,74,74,74
河南省,410000,商丘市,411400,梁园区,411402,31,32,66,68,72
河南省,410000,新乡市,410700,红旗区,410702,9,9,69,70,71
河南省,410000,洛阳市,410300,西工区,410303,11,13,67,68,69
河南省,410000,周口市,411600,川汇区,411602,17,19,62,66,69
河南省,410000,新乡市,410700,长垣市,410783,14,16,65,62,66
河南省,410000,郑州市,410100,新密市,410183,27,30,59,60,66
河南省,410000,洛阳市,410300,孟津区,410308,40,44,55,55,59
河南省,410000,开封市,410200,龙亭区,410202,12,12,57,57,59
河南省,410000,信阳市,411500,平桥区,411503,19,21,53,55,58
河南省,410000,三门峡市,411200,湖滨区,411202,24,25,56,55,58
河南省,410000,济源市,419001,坡头镇,419001,39,40,56,55,57
河南省,410000,周口市,411600,沈丘县,411624,20,20,56,55,57
河南省,410000,安阳市,410500,滑县,410526,13,16,49,48,52
河南省,410000,许昌市,411000,禹州市,411081,16,17,49,49,51
河南省,410000,许昌市,411000,建安区,411003,29,30,49,49,49
河南省,410000,新乡市,410700,牧野区,410711,19,19,48,46,49
河南省,410000,周口市,411600,项城市,411681,15,14,46,47,49
河南省,410000,信阳市,411500,浉河区,411502,6,7,43,47,48
河南省,410000,新乡市,410700,原阳县,410725,22,24,47,46,48
河南省,410000,南阳市,411300,邓州市,411381,22,21,45,45,45
河南省,410000,郑州市,410100,登封市,410185,7,9,41,42,45
河南省,410000,周口市,411600,郸城县,411625,10,10,41,39,43
河南省,410000,商丘市,411400,永城市,411481,13,13,41,39,42
河南省,410000,鹤壁市,410600,淇滨区,410611,9,8,41,42,42
河南省,410000,郑州市,410100,巩义市,410181,23,25,40,39,42
河南省,410000,安阳市,410500,林州市,410581,11,12,38,38,40
河南省,410000,安阳市,410500,文峰区,410502,12,12,40,39,40
河南省,410000,平顶山市,410400,新华区,410402,9,10,38,37,40
河南省,410000,洛阳市,410300,伊川县,410329,12,13,39,38,39
河南省,410000,漯河市,411100,郾城区,411103,3,6,36,36,39
河南省,410000,新乡市,410700,卫滨区,410703,12,15,37,37,39
河南省,410000,周口市,411600,商水县,411623,9,10,37,37,39
河南省,410000,濮阳市,410900,濮阳县,410928,15,15,35,37,38
河南省,410000,商丘市,411400,虞城县,411425,13,14,38,38,38
河南省,410000,周口市,411600,淮阳区,411603,12,13,37,36,38
河南省,410000,开封市,410200,尉氏县,410223,6,8,35,36,37
河南省,410000,新乡市,410700,辉县市,410782,24,24,36,37,37
河南省,410000,南阳市,411300,唐河县,411328,16,16,36,36,36
河南省,410000,信阳市,411500,潢川县,411526,14,16,33,34,36
河南省,410000,漯河市,411100,源汇区,411102,5,5,34,35,35
河南省,410000,南阳市,411300,镇平县,411324,8,8,33,33,34
河南省,410000,南阳市,411300,方城县,411322,9,9,34,33,34
河南省,410000,信阳市,411500,商城县,411524,16,16,33,33,33
河南省,410000,安阳市,410500,内黄县,410527,18,18,32,32,33
河南省,410000,平顶山市,410400,卫东区,410403,8,9,32,29,33
河南省,410000,周口市,411600,太康县,411627,7,8,30,30,33
河南省,410000,洛阳市,410300,老城区,410302,6,8,30,29,32
河南省,410000,许昌市,411000,鄢陵县,411024,13,14,31,29,32
河南省,410000,商丘市,411400,柘城县,411424,8,8,31,31,32
河南省,410000,洛阳市,410300,宜阳县,410327,14,14,30,31,31
河南省,410000,三门峡市,411200,灵宝市,411282,8,8,30,31,31
河南省,410000,焦作市,410800,武陟县,410823,15,14,30,29,31
河南省,410000,开封市,410200,鼓楼区,410204,4,4,29,31,31
河南省,410000,开封市,410200,兰考县,410225,8,8,29,30,31
